175
0.009016000	0.0013099
0.009154000	0.0013815
0.009190800	0.0014010
0.009246000	0.0014306
0.009384000	0.0015063
0.01069000	0.0023477
0.01142761	0.0029276
0.01221612	0.0036348
0.01305903	0.0044931
0.01396010	0.0055303
0.01492335	0.0067776
0.01595306	0.0082709
0.01705382	0.010050
0.01823052	0.012161
0.01948844	0.014654
0.02083314	0.017585
0.02227063	0.021014
0.02380730	0.025009
0.02545001	0.029642
0.02578380	0.030628
0.02617845	0.031813
0.02628369	0.032132
0.02644155	0.032614
0.02683620	0.033832
0.02720606	0.034992
0.02908327	0.041141
0.03109002	0.048177
0.03323523	0.056193
0.03552846	0.065284
0.03797993	0.075549
0.04060054	0.087089
0.04340198	0.10000
0.04639671	0.11439
0.04959809	0.13036
0.05302035	0.14798
0.05667876	0.16737
0.06058959	0.18858
0.06477028	0.21170
0.06923942	0.23678
0.07401695	0.26387
0.07912411	0.29299
0.08458368	0.32416
0.09041995	0.35737
0.09665893	0.39259
0.1033284	0.42976
0.1104581	0.46881
0.1180797	0.50965
0.1262272	0.55214
0.1349368	0.59615
0.1442475	0.64149
0.1542005	0.68797
0.1648404	0.73536
0.1762144	0.78344
0.1883732	0.83194
0.2013709	0.88058
0.2152655	0.92907
0.2301188	0.97712
0.2459970	1.0244
0.2629708	1.0706
0.2811158	1.1155
0.3005128	1.1586
0.3212482	1.1998
0.3434143	1.2387
0.3671099	1.2751
0.3924405	1.3086
0.3935680	1.3100
0.3995920	1.3172
0.4011984	1.3190
0.4036080	1.3218
0.4096320	1.3286
0.4195189	1.3391
0.4484657	1.3664
0.4794098	1.3902
0.5124891	1.4104
0.5478508	1.4270
0.5856525	1.4397
0.6260625	1.4486
0.6692609	1.4536
0.7154399	1.4547
0.7648052	1.4520
0.8175768	1.4456
0.8739896	1.4356
0.9342948	1.4220	
0.9987612	1.4051
1.067676	1.3850
1.141345	1.3620
1.220098	1.3362
1.304285	1.3079
1.394281	1.2773
1.490486	1.2448
1.593329	1.2105
1.703269	1.1748
1.820795	1.1378
1.946430	1.0999
2.080733	1.0613
2.224304	1.0223
2.377781	0.98301
2.541848	0.94375
2.717235	0.90472
2.904724	0.86609
3.105150	0.82806
3.319406	0.79078
3.548445	0.75439
3.793288	0.71903
4.055024	0.68479
4.334821	0.65178
4.633924	0.62007
4.953664	0.58971
5.295467	0.56074
5.660855	0.53321
6.051453	0.50710
6.469004	0.48244
6.915365	0.45921
7.392525	0.43739
7.902609	0.41695
8.447890	0.39785
9.030794	0.38004
9.653919	0.36348
10.32004	0.34811
11.03212	0.33387
11.79334	0.32069
12.60708	0.30852
13.47697	0.29729
14.40688	0.28693
15.40095	0.27738
16.46362	0.26857
17.59961	0.26045
18.81398	0.25295
20.11215	0.24601
21.49988	0.23958
22.98338	0.23361
24.56923	0.22804
26.26450	0.22284
28.07676	0.21795
30.01405	0.21334
32.08502	0.20897
34.29889	0.20481
36.66551	0.20083
39.19543	0.19700
41.89992	0.19330
44.79101	0.18971
47.88159	0.18620
51.18542	0.18277
54.71721	0.17940
58.49270	0.17608
62.52870	0.17280
66.84318	0.16955
71.45536	0.16633
76.38578	0.16313
81.65640	0.15995
87.29069	0.15678
93.31374	0.15363
99.75239	0.15049
106.6353	0.14737
113.9931	0.14427
121.8587	0.14119
130.2669	0.13813
139.2553	0.13509
148.8640	0.13208
159.1356	0.12909
170.1159	0.12614
181.8539	0.12323
194.4018	0.12035
207.8156	0.11751
222.1548	0.11472
237.4835	0.11197
253.8699	0.10927
271.3869	0.10662
290.1126	0.10402
310.1304	0.10148
331.5294	0.099001
354.4049	0.096577
378.8588	0.094213
405.0001	0.091911
432.9451	0.089671
